market,theme,asset,n_events,car_window,window_end,car_pct,t,p,pre_event_car_pct,post_event_car_pct,pre_share_of_move,post_only_t,p_fdr
fed_sep2026_no_change,monetary,XLI,4,"[-5,+1]",1,-0.8313534235948062,-0.6499388024730568,0.5620627172821342,-0.3319641655218962,-1.5582245235227588,0.17562488202681956,-1.3017516987850697,0.7078592852411123
fed_sep2026_no_change,monetary,XLI,4,"[-5,+3]",3,-0.9777274465316167,-0.6700182304304457,0.5508077746631574,-0.3319641655218962,-1.5582245235227588,0.17562488202681956,-1.3017516987850697,0.9109882118944618
fed_sep2026_no_change,monetary,XLI,4,"[-5,+5]",5,-1.8901886890446549,-0.9818833829215247,0.3985614391303489,-0.3319641655218962,-1.5582245235227588,0.17562488202681956,-1.3017516987850697,0.8928103527660355
fed_sep2026_no_change,monetary,VIXY,4,"[-5,-1]",-1,3.1526525362228677,2.8615771121758127,0.06449355079004238,3.1526525362228677,-2.0224507442434265,0.6091960614820431,-0.7358277619594418,0.8428511448266904
fed_sep2026_no_change,monetary,VIXY,4,"[-5,+0]",0,3.4064242514301233,2.04072878755401,0.1339526946469416,3.1526525362228677,-2.0224507442434265,0.6091960614820431,-0.7358277619594418,0.4554391617996014
fed_sep2026_no_change,monetary,VIXY,4,"[-5,+1]",1,2.605253980388615,1.4014906668174123,0.2556067906837318,3.1526525362228677,-2.0224507442434265,0.6091960614820431,-0.7358277619594418,0.7078592852411123
fed_sep2026_no_change,monetary,VIXY,4,"[-5,+3]",3,0.725064440184012,0.3007471409035623,0.7832456679239919,3.1526525362228677,-2.0224507442434265,0.6091960614820431,-0.7358277619594418,0.9510840253362759
fed_sep2026_no_change,monetary,VIXY,4,"[-5,+5]",5,1.1302017919794416,0.36973856898872265,0.7361356758474984,3.1526525362228677,-2.0224507442434265,0.6091960614820431,-0.7358277619594418,0.8928103527660355
fed_hike_2026,monetary,TLT,9,"[-5,-1]",-1,-0.24990486819844918,-0.46585869086783077,0.6537371654498503,-0.24990486819844918,0.674830063856542,0.2702448664322633,1.788547484006144,0.8428511448266904
fed_hike_2026,monetary,TLT,9,"[-5,+0]",0,0.05501915008951834,0.09976261718045955,0.9229874741098376,-0.24990486819844918,0.674830063856542,0.2702448664322633,1.788547484006144,0.9790180246789508
fed_hike_2026,monetary,TLT,9,"[-5,+1]",1,0.34455358297619565,0.598778193515956,0.5658855072762325,-0.24990486819844918,0.674830063856542,0.2702448664322633,1.788547484006144,0.7078592852411123
fed_hike_2026,monetary,TLT,9,"[-5,+3]",3,0.3159578353450565,0.4353038997119559,0.6748473018139287,-0.24990486819844918,0.674830063856542,0.2702448664322633,1.788547484006144,0.9109882118944618
fed_hike_2026,monetary,TLT,9,"[-5,+5]",5,0.4249251956580929,0.5435503050590524,0.6015646995433221,-0.24990486819844918,0.674830063856542,0.2702448664322633,1.788547484006144,0.8928103527660355
fed_hike_2026,monetary,XLF,9,"[-5,-1]",-1,0.20215194273371595,0.27358433412686756,0.7913346891399877,0.20215194273371595,0.21707518423006175,0.4822014839492541,0.33513545921208454,0.8428511448266904
fed_hike_2026,monetary,XLF,9,"[-5,+0]",0,0.11569107948833811,0.13603648683189493,0.8951533243345864,0.20215194273371595,0.21707518423006175,0.4822014839492541,0.33513545921208454,0.9790180246789508
fed_hike_2026,monetary,XLF,9,"[-5,+1]",1,-0.0869268110111033,-0.1138158044049324,0.9121883120756551,0.20215194273371595,0.21707518423006175,0.4822014839492541,0.33513545921208454,0.9121883120756551
fed_hike_2026,monetary,XLF,9,"[-5,+3]",3,0.45371241831998016,0.40422532922913573,0.6966380443898825,0.20215194273371595,0.21707518423006175,0.4822014839492541,0.33513545921208454,0.9109882118944618
fed_hike_2026,monetary,XLF,9,"[-5,+5]",5,0.4192271269637775,0.3642964561096957,0.7250775710907686,0.20215194273371595,0.21707518423006175,0.4822014839492541,0.33513545921208454,0.8928103527660355
