market,theme,asset,lag,n,p_prob_leads_market,p_market_leads_prob,p_prob_leads_market_fdr,p_market_leads_prob_fdr
fed_sep2026_no_change,monetary,VIXY,1,74,0.3937143514156412,0.6322077829340432,0.9786128357930445,0.9914427486398933
fed_sep2026_no_change,monetary,VIXY,2,74,0.5526785987496671,0.8823354836975885,0.9786128357930445,0.9914427486398933
fed_sep2026_no_change,monetary,VIXY,3,74,0.7247192078552416,0.5483293921956409,0.9786128357930445,0.9914427486398933
fed_sep2026_no_change,monetary,VIXY,4,74,0.6634597695318109,0.6698732345880236,0.9786128357930445,0.9914427486398933
fed_sep2026_no_change,monetary,VIXY,5,74,0.22887966254208975,0.8281217740491185,0.9786128357930445,0.9914427486398933
fed_sep2026_hike25,monetary,TLT,1,75,0.14997950664563484,0.8958166940134277,0.9786128357930445,0.9914427486398933
fed_sep2026_hike25,monetary,TLT,2,75,0.7381153347380158,0.9023688567451129,0.9786128357930445,0.9914427486398933
fed_sep2026_hike25,monetary,TLT,3,75,0.8801124683232809,0.8549826535282391,0.9786128357930445,0.9914427486398933
fed_sep2026_hike25,monetary,TLT,4,75,0.8658364860487718,0.6831867351717482,0.9786128357930445,0.9914427486398933
fed_sep2026_hike25,monetary,TLT,5,75,0.7596016911304533,0.6508853627946487,0.9786128357930445,0.9914427486398933
fed_sep2026_hike25,monetary,XLF,1,75,0.1504694849639466,0.6783624041688952,0.9786128357930445,0.9914427486398933
fed_sep2026_hike25,monetary,XLF,2,75,0.15026846620204828,0.8320399805796083,0.9786128357930445,0.9914427486398933
fed_sep2026_hike25,monetary,XLF,3,75,0.14554977657215573,0.8531810821494815,0.9786128357930445,0.9914427486398933
fed_sep2026_hike25,monetary,XLF,4,75,0.3378785716330583,0.4375771861253197,0.9786128357930445,0.9914427486398933
fed_sep2026_hike25,monetary,XLF,5,75,0.5327173742129246,0.42374014012129596,0.9786128357930445,0.9914427486398933
fed_sep2026_hike25,monetary,SPY,1,75,0.7410149228828893,0.9341959509470308,0.9786128357930445,0.9914427486398933
fed_sep2026_hike25,monetary,SPY,2,75,0.7954518651185936,0.8771903282757958,0.9786128357930445,0.9914427486398933
fed_sep2026_hike25,monetary,SPY,3,75,0.7736559844759514,0.8361626798947539,0.9786128357930445,0.9914427486398933
fed_sep2026_hike25,monetary,SPY,4,75,0.45205984204781735,0.7797931028797893,0.9786128357930445,0.9914427486398933
fed_sep2026_hike25,monetary,SPY,5,75,0.7806938640555743,0.8605660415509145,0.9786128357930445,0.9914427486398933
fed_sep2026_hike25,monetary,XLI,1,75,0.8648380303234124,0.9716584217596385,0.9786128357930445,0.9914427486398933
fed_sep2026_hike25,monetary,XLI,2,75,0.414411539173036,0.9626308493199589,0.9786128357930445,0.9914427486398933
fed_sep2026_hike25,monetary,XLI,3,75,0.6875389069513363,0.9315588793339055,0.9786128357930445,0.9914427486398933
