market,theme,asset,n,corr_full,beta_dp,t_ols,p_ols,t_hc3,p_hc3,hac_lags,t_beta_hac,p_beta_hac,roll_mean,roll_sd,roll_min,roll_max,frac_signif_window,frac_negative,mean_abs_z,p_hc3_fdr
fed_sep2026_hike25,monetary,XLI,75,-0.1810252870542521,-0.03743368420008837,-1.5726635835439808,0.12012118867666695,-2.169069934467981,0.033334715491135515,3,-2.4457849928040787,0.01686461450582323,-0.1891609053762735,0.09772201387571812,-0.4839618955136991,-0.06504355446981024,0.013333333333333334,0.7333333333333333,0.19385298929704078,0.07576071702530798
us_recession_2026,growth,VIXY,202,0.1922273711240841,0.380760499964741,2.770168036198567,0.006130529582106298,2.039829427515306,0.04268213380973628,4,1.8174794271039645,0.07064022674055762,0.16029828728457782,0.33475031004360445,-0.38176709544993387,0.7143298532817188,0.2722772277227723,0.400990099009901,0.3330713305928552,0.08892111210361725
fed_sep2026_hike25,monetary,TLT,75,-0.19931805368514938,-0.02229658016949298,-1.7378443009049642,0.08645511890750664,-1.8830632181619613,0.06367586598437158,3,-2.0966617604469837,0.03948868745135266,-0.2495192533161986,0.1403710110823089,-0.4475283409204889,-0.022972764902473117,0.0,0.7333333333333333,0.2603532383242993,0.12245358843148382
fed_sep2026_no_change,monetary,XLF,74,0.16001014092569835,0.020894777499253576,1.37545327423307,0.17325532446640113,1.6723484591357054,0.09879609756600924,3,1.801578953322519,0.07579822599947224,0.18610787758964248,0.11741818032379203,-0.037462217938253516,0.4143504936995647,0.0,0.05405405405405406,0.19423324062819813,0.17280147572223445
fed_hike_2026,monetary,XLI,162,-0.16945953863536006,-0.044526177630460406,-2.1749687097428603,0.031100667747518226,-1.6365935949021924,0.10368088543334068,4,-1.6165915995158737,0.10793642693450214,-0.2150770915600342,0.29672471410678514,-0.7336873485406626,0.47863181715573433,0.17901234567901234,0.6790123456790124,0.345832208072294,0.17280147572223445
fed_hike_2026,monetary,XLF,162,-0.133924501609922,-0.02810432592336024,-1.7094251301353223,0.08931095726211352,-1.3457219769575426,0.18029603965113766,4,-1.3922854536709632,0.16576801061152496,-0.10966674770436745,0.3269547877620195,-0.661651289428077,0.5458630925744933,0.1728395061728395,0.5493827160493827,0.31594812033998776,0.2817125619549026
fed_hike_2026,monetary,TLT,162,-0.11600873853057932,-0.015914314929315897,-1.4773823698174204,0.14153884030102265,-1.301621349061294,0.19491683663523363,4,-1.3739446752120108,0.17138060228417043,-0.12013058458286,0.22446037622748458,-0.6015001165060498,0.3756930254079318,0.04938271604938271,0.5925925925925926,0.22035750618158928,0.28664240681652003
fed_sep2026_hike25,monetary,XLF,75,-0.11200352278468355,-0.016638240403169618,-0.9630180108323507,0.3387177448900766,-1.18978322359559,0.237986846787485,3,-1.2701832278245697,0.20805301004168414,-0.16010951205081386,0.13820854127913806,-0.35297166919319556,0.08843649129040779,0.0,0.6266666666666667,0.18066289749510586,0.33053728720484027
us_recession_2026,growth,TLT,202,-0.04200094075745808,-0.01292604044509122,-0.5945076111854576,0.5528445896240683,-0.600600806919781,0.5487858919814055,4,-0.5406083476054111,0.5893791085042237,-0.00408221549426389,0.307229755136694,-0.5527207017470857,0.5327475145544228,0.13861386138613863,0.4207920792079208,0.28516344448668696,0.7220866999755335
korea_trade_deal_2027,trade,SPY,186,-0.053577763663719975,-0.011987158995075476,-0.7278095131281588,0.46765532781041436,-0.4962230357844682,0.6203293094250384,4,-0.5520169361644102,0.5816066003235275,0.0468133508020432,0.18948075832055597,-0.3745091780824587,0.46803153863058566,0.005376344086021506,0.3709677419354839,0.16020950307488332,0.7602245408924847
us_debt_default_2027,sovereign_debt,TLT,194,0.0333987968392595,0.031255261817155745,0.4630456353460687,0.643856064512082,0.4342619645235317,0.6645858361825454,4,0.5032746024944202,0.6153480942307431,0.04774318644295193,0.24465244750120396,-0.55698696923607,0.6133619388415645,0.061855670103092786,0.4020618556701031,0.21005479559794255,0.7602245408924847
us_debt_default_2027,sovereign_debt,SPY,194,0.029642791530635954,0.03931694689307325,0.4109231458260314,0.6815871451573803,0.4281833071398102,0.6689975959853864,4,0.4610879810986883,0.6452573697794525,0.04096170841842767,0.20795795654083873,-0.38237761298806017,0.40149160186220373,0.0,0.29381443298969073,0.18977606237013397,0.7602245408924847
us_debt_default_2027,sovereign_debt,VIXY,194,0.01988917887418688,0.11249534540514394,0.2756470721968852,0.7831155911438897,0.29444873056897986,0.768733137605894,4,0.3437679650527633,0.7313969606704769,-0.024429057755120446,0.22313293990381078,-0.5763310486425011,0.37252814769943865,0.020618556701030927,0.5,0.19744888820213122,0.8355794973977109
us_recession_2026,growth,XLF,202,-0.014877381413568407,-0.007474229507989026,-0.21042123391273948,0.8335531407312827,-0.1679257297990772,0.8668113927445542,4,-0.16463330141111884,0.8693988897860251,-0.010370240727708107,0.30524541787326104,-0.7354054594547845,0.5466175513705279,0.11386138613861387,0.40594059405940597,0.2613120613923401,0.9029285341089106
korea_trade_deal_2027,trade,XLI,186,0.007951247493348542,0.0024693645920721924,0.10785937816962832,0.9142247622089594,0.10960246792660426,0.9128440962640734,4,0.12427498109907027,0.9012332147478755,0.014703481201534203,0.2182324689482902,-0.47078363939087275,0.5229430246102545,0.021505376344086023,0.4032258064516129,0.18327820875199985,0.9128440962640734
