date,agg_entropy,agg_flow,disp_flow,agg_drift,agg_level,disp_level_chg,agg_entropy_chg,n_live_contracts,CPUI
2026-01-22,0.3436812860831035,0.05493586734785638,0.08105506460896778,-0.02281520763996466,-2.1217754925818846,0.08777860644655272,-0.010619876184228272,4,-0.6954935782662995
2026-01-23,0.352914852673037,0.04964066948444088,0.045147562854719325,-0.018866811930069314,-2.07363336013827,0.07624064682245713,0.009233566589933517,4,-0.803618443368206
2026-01-26,0.3943063729505632,0.2050543144122067,0.0588907211901323,0.0031110138514944016,-1.8689390702827333,0.16289979742811797,0.041391520277526184,4,-0.2828331033001721
2026-01-27,0.38552116444279566,0.043126196183655555,0.13159186981039317,0.0006668999214785741,-1.9115791977317953,0.18632564184069625,-0.008785208507767539,4,-0.41766472851517245
2026-01-28,0.39488552976577235,0.045854964562144655,0.01766085348072025,0.021120094277507072,-1.8660445613410965,0.03933457858235,0.009364365322976687,4,-0.7785302354204461
2026-01-29,0.388252105394675,0.05045571100435378,0.01800246483880223,0.024021477499528564,-1.8979126841423972,0.06408737080465884,-0.006633424371097374,4,-0.7874909749617806
2026-01-30,0.4122580975954867,0.12393006375367668,0.143851618774815,0.03148939943100657,-1.7830610142460595,0.1699377879060647,0.024005992200811732,4,-0.11309993310564521
2026-02-02,0.4138487007633922,0.009319982280689185,0.03702934252056239,0.011253397425496121,-1.7749499910937092,0.0634415684982674,0.001590603167905491,4,-0.7342840346918643
2026-02-03,0.41104535214621374,0.014273162740463507,0.0715812734226968,0.012955019992818872,-1.7890357683913063,0.09955995846336604,-0.0028033486171784583,4,-0.6118675532444644
2026-02-04,0.3971674814163053,0.06648378851023747,0.06872087643467326,-0.0012198523484820566,-1.8551630467305542,0.09110524109645841,-0.013877870729908426,4,-0.5482646756930308
2026-02-05,0.40698613276637435,0.0490868096880761,0.09124928761264924,0.006692356107599116,-1.8087167011773226,0.13202193924670677,0.009818651350069041,4,-0.4785569490546073
2026-02-06,0.4014412332888959,0.053636497366376705,0.1003900174440804,-0.006485241639767365,-1.8345115087054884,0.15321980105749997,-0.005544899477478438,4,-0.4537241763545025
2026-02-09,0.400117797568048,0.01171003477862984,0.19688209369032295,-0.00946423438206362,-1.8411252407334526,0.2161987283899475,-0.0013234357208479208,4,-0.21594666805203644
2026-02-10,0.4010271660418475,0.004941713066446722,0.09808887551352326,-0.005870197405205541,-1.8368439839334574,0.1069693885546146,0.0009093684737995211,4,-0.5713519034628681
2026-02-11,0.42077468986318856,0.129807962004725,0.06202786979311984,0.012251623859184643,-1.7447214387544245,0.11513170745211447,0.01974752382134104,4,-0.35804485562745425
2026-02-12,0.41209834922248145,0.04106835718778488,0.07523883780957966,0.0017210967184265252,-1.7848297787936507,0.10394011608356472,-0.008676340640707103,4,-0.5362991849348105
2026-02-13,0.41193162759470514,0.0009815614146270303,0.18170992846420603,0.003363679289758435,-1.7858113402082778,0.18170992846420603,-0.00016672162777631172,4,-0.25621296532591215
