market,theme,asset,n,k=-5,k=-4,k=-3,k=-2,k=-1,k=+0,k=+1,k=+2,k=+3,k=+4,k=+5
fed_hike_2026,monetary,TLT,162,0.06488661798534283,0.013306382642575205,-0.03407358341583742,0.042138789330149085,-0.05682168409894112,-0.11600873853057932,0.0681152402603457,0.061615046224740795,-0.12424229163145362,0.09706334855377236,-0.0638562386720357
fed_hike_2026,monetary,XLF,162,0.07232874348374636,0.059768270630596816,-0.06880507612993415,-0.02109344444397906,0.04639444390056367,-0.133924501609922,-0.017162997056936146,0.0034213500306457664,0.1192133598087121,0.0011181211206748789,-0.008451347216295264
fed_hike_2026,monetary,SPY,162,0.11523613232055158,-0.003499637731919335,-0.064508596180986,0.10017464616630703,0.02903260908428232,-0.250624769292957,0.027226218368560977,-0.002894586409973546,-0.10896567071063254,-0.019827320840525624,0.03178034108018946
fed_hike_2026,monetary,XLI,162,0.045416451927893044,-0.006044533950540689,-0.14411057274367273,0.06615227366527995,0.011513392484633346,-0.16945953863536006,0.059130341916484516,0.027710525207659657,-0.10776409895057713,0.06330554030293539,-0.005049331042449634
fed_hike_2026,monetary,VIXY,162,-0.07711320616463975,0.025887105071490505,-0.055560058841532284,-0.04748339428670222,-0.09995753401163265,0.23254608736310584,0.035639589693428175,-0.002455355630005738,0.06430885551867266,-0.036395164605460203,0.03411030566823006
us_recession_2026,growth,SPY,202,-0.053773640346717444,-0.08530388433392702,-0.012884860798071145,0.09810551377990767,-0.02071466034703954,-0.17844861458984276,0.09768746746520851,0.05512947959105747,-0.031910600009446094,0.022657092058376762,-0.09839133564366345
us_recession_2026,growth,XLI,202,0.021119187600502232,-0.08719147735117719,0.042959157508252056,0.054979695879706275,-0.08602201988023998,-0.2109744484889926,0.0267049112139692,0.05108703001191818,-0.019802729410715012,0.023645678062117412,-0.08392381315410316
us_recession_2026,growth,XLF,202,-0.055784700729849174,-0.05185132328677918,-0.050412942978191794,0.04551550506192333,0.001579156881308559,-0.014877381413568407,-0.09413951294834334,0.06172077851039867,0.018779630790139102,0.028011473599460827,-0.010939566886919886
us_recession_2026,growth,TLT,202,-0.027225804668053754,-0.16480275850392426,0.13306304130458393,0.003953503496623872,0.005102306842173425,-0.04200094075745808,-0.06910091567869915,-0.06379662115816055,0.0034594398427030488,-0.07385144023524401,0.007440322089509476
us_recession_2026,growth,VIXY,202,0.0244688196823359,0.09187154035587439,-0.02272721214653895,-0.05106316801433231,0.015740330497453662,0.1922273711240841,-0.15187523036685105,-0.03070787109225675,0.05096941010048982,-0.03367487790232497,0.1263579875119446
korea_trade_deal_2027,trade,XLI,186,0.03293799265519147,0.0003384917658192842,-0.03436432634139001,-0.039717443777100604,0.041000254779186535,0.007951247493348542,0.08831080174677758,-0.020660178597408298,0.10119183186675262,-0.03898808416361674,-0.007626226179548502
korea_trade_deal_2027,trade,SPY,186,0.09916936689972769,-0.10537337878819399,-0.0013020827355918565,-0.011213377320285151,0.006608393485211699,-0.053577763663719975,0.08790938040470661,0.10045195658075744,0.09762296348657773,-0.05380315977604617,-0.007520519806046388
us_debt_default_2027,sovereign_debt,TLT,194,-0.03943349005947439,0.06870369930998903,-0.011061923293230871,-0.03007838557292836,-0.13883407583460305,0.0333987968392595,-0.05208501808696794,-0.04980178762009192,0.015546095484517257,0.002085187479164749,0.04792491048236685
us_debt_default_2027,sovereign_debt,SPY,194,-0.04613619676944289,0.01775420872392137,0.11190903884502645,-0.16745602271660243,0.020697750382665404,0.029642791530635954,0.05329750450492485,-0.04431430825199106,-0.053358846234251404,-0.06478922592425997,0.07697308203765173
us_debt_default_2027,sovereign_debt,VIXY,194,0.00035853297720093026,0.057736471949810804,-0.05431709342267797,0.1425128258190483,0.0007475372057125356,0.01988917887418688,-0.09540226277770364,0.004781962164973572,-0.0003873564937188864,0.05783198442383922,-0.07432876073153415
